overtime_2OT,overtime_OT,Attend,PTS_Home,PTS_Visitor,HomeLastWin,VisitorLastWin,HomeNumWins,VisitorNumWins,Visitor_Atlanta Hawks,Visitor_Boston Celtics,Visitor_Brooklyn Nets,Visitor_Charlotte Hornets,Visitor_Chicago Bulls,Visitor_Cleveland Cavaliers,Visitor_Dallas Mavericks,Visitor_Denver Nuggets,Visitor_Detroit Pistons,Visitor_Golden State Warriors,Visitor_Houston Rockets,Visitor_Indiana Pacers,Visitor_Los Angeles Clippers,Visitor_Los Angeles Lakers,Visitor_Memphis Grizzlies,Visitor_Miami Heat,Visitor_Milwaukee Bucks,Visitor_Minnesota Timberwolves,Visitor_New Orleans Pelicans,Visitor_New York Knicks,Visitor_Oklahoma City Thunder,Visitor_Orlando Magic,Visitor_Philadelphia 76ers,Visitor_Phoenix Suns,Visitor_Portland Trail Blazers,Visitor_Sacramento Kings,Visitor_San Antonio Spurs,Visitor_Toronto Raptors,Visitor_Utah Jazz,Visitor_Washington Wizards,Home_Atlanta Hawks,Home_Boston Celtics,Home_Brooklyn Nets,Home_Charlotte Hornets,Home_Chicago Bulls,Home_Cleveland Cavaliers,Home_Dallas Mavericks,Home_Denver Nuggets,Home_Detroit Pistons,Home_Golden State Warriors,Home_Houston Rockets,Home_Indiana Pacers,Home_Los Angeles Clippers,Home_Los Angeles Lakers,Home_Memphis Grizzlies,Home_Miami Heat,Home_Milwaukee Bucks,Home_Minnesota Timberwolves,Home_New Orleans Pelicans,Home_New York Knicks,Home_Oklahoma City Thunder,Home_Orlando Magic,Home_Philadelphia 76ers,Home_Phoenix Suns,Home_Portland Trail Blazers,Home_Sacramento Kings,Home_San Antonio Spurs,Home_Toronto Raptors,Home_Utah Jazz,Home_Washington Wizards,_2019Dec,_2019Nov,_2019Oct,_2020Aug,_2020Feb,_2020Jan,_2020Jul,_2020Mar,_2020Oct,_2020Sep,Time_Of_Day,HomeWins2019,VisitorWins2019
0,0,18055.0,124,95,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1000,19,39
0,0,20338.0,100,117,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,700,41,29
0,0,18055.0,111,117,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,800,53,60
0,0,18064.0,122,141,0.0,1.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1030,57,48
0,0,18624.0,112,106,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,700,49,58
0,0,14879.0,99,121,1.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,700,39,36
0,0,17732.0,113,109,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,730,42,17
0,0,17794.0,102,110,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,800,33,22
0,0,17027.0,116,123,0.0,1.0,0.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,800,33,33
0,0,18203.0,85,97,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,800,49,32
